,state,gender,age,population,population_fraction,cumulative_fraction
6239,Virginia,F,69,34773,0.0001403417664462536,0.9479427819357521
6240,Virginia,F,70,34265,0.00013829150856356596,0.9480810734443157
6241,Virginia,F,71,33407,0.00013482867143099512,0.9482159021157467
6242,Virginia,F,72,34248,0.00013822289757142877,0.9483541250133182
6243,Virginia,F,73,29503,0.00011907235888372644,0.9484731973722019
6244,Virginia,F,74,27040,0.00010913183690526262,0.9485823292091072
6245,Virginia,F,75,25480,0.00010283576939149747,0.9486851649784988
6246,Virginia,F,76,23507,9.487285836287013e-05,0.9487800378368616
6247,Virginia,F,77,22356,9.022749060111136e-05,0.9488702653274627
6248,Virginia,F,78,20755,8.376594951807417e-05,0.9489540312769807
6249,Virginia,F,79,19578,7.901564729775264e-05,0.9490330469242785
6250,Virginia,F,80,18733,7.560527739446319e-05,0.949108652201673
6251,Virginia,F,81,16522,6.668181247591528e-05,0.9491753340141489
6252,Virginia,F,82,16146,6.516429876746932e-05,0.9492404983129163
6253,Virginia,F,83,15112,6.099113606924292e-05,0.9493014894489856
6254,Virginia,F,84,14107,5.6935015651721147e-05,0.9493584244646374
6255,Virginia,F,85,94568,0.0003816708414370146,0.9497400953060744
6256,Vermont,M,18,4785,1.9311976316260413e-05,0.9497594072823906
6257,Vermont,M,19,5798,2.3400384259493812e-05,0.9497828076666501
6258,Vermont,M,20,5611,2.2645663345984784e-05,0.9498054533299961
6259,Vermont,M,21,5324,2.1487348361080555e-05,0.9498269406783572
6260,Vermont,M,22,4864,1.9630815632662623e-05,0.9498465714939898
6261,Vermont,M,23,4379,1.7673384386395894e-05,0.9498642448783762
6262,Vermont,M,24,4037,1.6293092662224303e-05,0.9498805379710384
6263,Vermont,M,25,3680,1.4852261827343433e-05,0.9498953902328657
6264,Vermont,M,26,3525,1.422669101668087e-05,0.9499096169238824
6265,Vermont,M,27,3614,1.45858897402226e-05,0.9499242028136227
6266,Vermont,M,28,3678,1.4844189945915529e-05,0.9499390470035686
6267,Vermont,M,29,3582,1.4456739637376135e-05,0.949953503743206
6268,Vermont,M,30,3677,1.4840154005201577e-05,0.9499683438972112
6269,Vermont,M,31,3545,1.430740983095991e-05,0.9499826513070422
6270,Vermont,M,32,3547,1.4315481712387814e-05,0.9499969667887546
6271,Vermont,M,33,3603,1.4541494392369127e-05,0.950011508283147
6272,Vermont,M,34,3526,1.4230726957394822e-05,0.9500257390101043
6273,Vermont,M,35,3693,1.4904729056624809e-05,0.950040643739161
6274,Vermont,M,36,3455,1.3944175166704228e-05,0.9500545879143277
6275,Vermont,M,37,3335,1.3459862281029986e-05,0.9500680477766088
6276,Vermont,M,38,3335,1.3459862281029986e-05,0.9500815076388899
