Location,Burrito,Date,Neighborhood,Address,URL,Yelp,Google,Chips,Cost,Hunger,Length,Circum,Volume,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Rec,Reviewer,Notes,Unreliable,NonSD,Beef,Pico,Guac,Cheese,Fries,Sour cream,Pork,Chicken,Shrimp,Fish,Rice,Beans,Lettuce,Tomato,Bell peper,Carrots,Cabbage,Sauce,Salsa,Cilantro,Onion,Taquito,Pineapple,Ham,Chile relleno,Nopales,Lobster,Queso,Egg,Mushroom,Bacon,Sushi,Avocado,Corn,Zucchini
Karina's Taco Shop ,Bomb,5/15/2016,Encinitas ,916 N Coast Hwy 101,https://www.yelp.com/biz/karinas-taco-shop-encinitas,4,4.2,,7.99,3,25.5,23,1.07,4,4,4,3.5,2.5,3.5,4,3.5,2.5,3.7,Yes,Scott,,,,X,,X,X,X,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,
Karina's Taco Shop ,California ,5/15/2016,,,,,,,6.99,2.5,21.5,22.125,0.84,3.5,4,3.5,3.5,3,1,4,4,4.5,3.8,Yes,Emily,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanita's Taco Shop,California ,5/18/2016,Encinitas ,290 N Coast Hwy 101,https://www.yelp.com/biz/juanitas-taco-shop-encinitas,4,4.5,,5.55,3.5,17.5,23,0.74,4,4.5,3,3,5,3,4,3,5,3.5,Yes,Scott,,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juanita's Taco Shop,Arizona,5/18/2016,,,,,,,5.55,2.5,20.5,22.5,0.83,4.5,4,3.5,4,3.5,4,3,4,5,3.9,Yes,Emily,,,,X,X,X,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,5/20/2016,La Jolla,Marshall College,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,3.5,4.1,,7.25,3.5,18.5,22.5,0.75,1.5,1,2,2,2,2,2,2,1,1.8,No,Scott,Grocery store tortilla; cold guac,,,x,x,x,x,,,,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,
Pedro's Tacos,California Burrito,5/22/2016,Oceanside,,,,,,6.5,5,,,,3,,4,5,4,4,,5,5,5,Yes,Erika N,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,619 Burrito Original,5/16/2016,,,,,,x,11.75,4,,,,3,,4,5,4,4,5,4,3,4,Yes,Sai G,,x,,x,,,,x,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Kotija Jr.,Fish,5/20/2016,,,,,,,6.5,4,,,,3,,4,4,5,4,4,5,4,5,Yes,Jonathan G,Great fish burrito. Not fishy and has great crunch from both cabbage and fried fish. Super generous with amount of fish given,x,,,,,,,,,,,x,,,,,,,x,x,,,,,,,,,,,,,,,,,
La Perla Cocina,California,5/16/2016,,,,,,,6.5,5,,,,4,,4,4,5,4,4,4,5,4,Yes,Laya,A LOT of carne asada!,x,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,5/16/2011,La Jolla,,,,,,8,4,,,,3,,2,3,2,3,2,3,2,2,No,Albert N,"The price has gone up for the past two years. I would probably rate this lower because of it, but my scores were on raw taste only.",x,,x,x,x,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,
Goody's,Custom,5/20/2016,La Jolla,,,,,,8,3,,,,3,,1,2,2,2,2,2,1,2,No,Brittany T,It's gone downhill since 2013. Expensive and only ate it because there's nothing else around. closes early. skimping on the portions.,x,,,,,x,,x,,x,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,
Chipotle,Custom,5/22/2016,,,,,,,7,3.5,,,,3,,5,3,3,4,4,4,4,4,Yes,Gurkirat S,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rigoberto's Taco Shop,Al pastor,4/20/2015,,,,,,,,4,,,,5,,5,5,5,4,5,5,5,4.8,Yes,Erica,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Surf PB,California,5/23/2016,Pacific Beach,4657 Mission Blvd,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,4,4.6,,7.14,3.5,20,23,0.84,4,2,4,5,4,2,4,4.5,5,4.4,Yes,Scott,not too much rice,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Taco Surf PB,California,5/23/2016,,,,,,,7.14,5,20.5,24,0.94,4,2,4.5,4,3.5,2,3,4,4,4.1,Yes,Sage,hashbrowns instead of fries; anterior-posterior uniformity is good but medial-lateral is bad,,,x,,x,x,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,
Taco Surf PB,Carne asada,5/23/2016,,,,,,,6.02,3.2,19.5,20.5,0.65,4.5,2,3.3,3.4,4.5,4.5,3.8,3.7,5,3.7,Yes,Dan,one hot side and one cold side from the guac,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Very Mexican Food,Chicken asada,5/24/2016,Del Mar,2206 Carmel Valley Road,https://www.yelp.com/biz/robertos-very-mexican-food-del-mar-2,3.5,3.9,,6.5,2,18.5,21.5,0.68,1.5,4,2,2,4.5,1,1,2,5,1.5,No,Scott,,,,,x,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto's Very Mexican Food,Carnitas,5/24/2016,,,,,,,5.4,3,18,20,0.57,2,3.5,4,2.5,3.5,1.5,1.5,3,5,2.7,No,Emily,,,,,x,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netos Mexican Food,California ,5/26/2016,San Marcos,325 S Rancho Santa Fe Rd,https://www.yelp.com/biz/netos-mexican-food-san-marcos,4.5,4.1,x,5.99,4,20.5,23.5,0.9,4.5,5,3,4,2,2,2,3.75,4,3.2,Yes,Scott,not 100% certain about the ingredients (was there guac and pico?),,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netos Mexican Food,Carne adobada ,5/26/2016,,,,,,,5.5,3,20.75,23.5,0.91,3.5,4,3.5,3,3.5,3.5,2.5,3,2.5,3,Yes,Emily,"Best free chips, novel burrito",,,x,x,x,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,
Lolita's Taco shop,Carne asada,5/27/2016,,,,,,,6.25,4,15,20.5,0.5,1.5,2.5,3,4.5,4,2,2.75,3.75,3,2.6,No,Scott,Way too small,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco shop,Shrimp,5/27/2016,,,,,,,8.95,3.5,18.5,25,0.92,3,3,4,4,3.5,3.5,2.5,4,0.5,3,Yes,Emily,,,,,X,,,,,,,X,,,,X,,,,,X,,,,,,,,,,,,,,,,,
Lolita's Taco shop,Bean and cheese,5/27/2016,,,,,,,3.5,1,16,20,0.51,3.5,4.5,,3,,4,3,2.5,4,2.7,No,Scott,,,,,,,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Pokirrito,Pokirrito classic ,5/29/2016,Kearny Mesa,4646 Convoy St,https://www.yelp.com/biz/pokirrito-san-diego-2,4,4.3,x,11.95,4,18,23.5,0.79,3.5,4,4,4.5,2.5,2.5,3,4,2,4.2,Yes,Scott,Lotus chips add good crunch,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Pokirrito,Mauna Lani,5/29/2016,,,,,,,11.95,3,20,22.75,0.82,3,4,4,4,3,2.5,4.5,4,1.5,4,Yes,Emily,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,
Los Primos Mexican Food,California,5/29/2016,,,,,,,7.5,4,,,,3,5,3.5,3.5,4,4,2.5,3,5,3.5,Yes,Sage,,,,,x,,x,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,
El Nopalito ,Especial ,6/1/2016,Encinitas,582 Santa Fe Dr,https://www.yelp.com/biz/el-nopalito-encinitas,4,4,x,4.87,2,19,23.5,0.83,3,4,1.5,2,3,5,3,2.5,5,2.6,No,Scott,"It's pretty good for what it is, but just not the best ingredients for a burrito. also Few white people",,,X,,X,X,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,
El Nopalito ,Ranchero steak,6/1/2016,,,,,,,4.87,2.5,19.5,20.5,0.65,3.5,3,2.5,2.4,3.5,4.5,3,3,1.5,2.6,No,Emily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goody's,Carne Asada,5/21/2016,,,,,,,6.25,4.5,,,,3.5,3,2,2,2.5,3,2,1.5,1,2,No,Kevin,"Sucks, but it is okay.",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saguaro's ,Vegetarian,6/20/2016,,,,,,,5.25,4,,,,4,5,,5,4,4,5,5,5,4.8,Yes,Brian,"Great rice and beans burrito, doesn't come with cheese or sour cream. ",x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colima's ,Colimas burrito,5/31/2016,,,,,,x,8.25,4,,,,5,5,5,5,5,5,,5,4.5,4.9,Yes,Brian,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alberto's 623 N Escondido Blvd, Escondido, CA 92025",Carne Asada,5/5/2016,,,,,,,4.59,4,17,21,0.6,4,4,5,5,5,5,5,5,4,4.8,Yes,Chuck K,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MXN on Washington,Bean and rice grande size,5/20/2016,,,,,,,2.99,3,,,,4.5,3.5,,4.5,,3.5,3,4,4,4.5,Yes,Sarah,Got green and hot salsa put inside the burrito-drive thru,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Zarape,Surf and Turf,5/19/2016,,,,,,,7,2.5,,,,5,5,5,5,5,5,5,5,5,5,Yes,Damien B,Get the green sauce,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's,Bean and Cheese,5/19/2016,,,,,,,,4.3,,,,3.8,4,,4.7,,5,,4.7,5,4.8,Yes,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humbertos,Pollo california,5/27/2016,,,,,,,6,5,,,,4,5,5,5,5,4,5,5,5,5,Yes,Logan,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chili Peppers,Surf & Turf,5/28/2016,,,,,,,9.43,,,,,4,5,5,5,5,5,5,5,5,5,Yes,Chris H,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Monster California,6/3/2016,,,,,,,9.25,3.5,25.5,24,1.17,2,1,3,3,1,,3,2,4,2.3,No,Scott,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,California,6/3/2016,,,,,,,7,3,20,22,0.77,4.5,4,3.5,4,1,1,2,2,4,2.5,No,Ricardo,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,California breakfast,6/3/2016,,,,,,,6.25,2.5,18.5,22.5,0.75,3,4,3,2,1.5,1,3,1.5,3,2,No,Erin,,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,
Los Primos Mexican Food,Baja monster,6/3/2016,,,,,,,6,4,,,,3,3,1,4,2,2,3,2,1,2,No,Elynn,,,,,x,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Baja monster,6/3/2016,,,,,,,6,3,,,,4,3.5,4,4,2,4,4,4,3,3.8,Yes,Rob,,,,,x,x,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Carnitas,6/3/2016,,,,,,,6.35,4.5,18,20.5,0.6,4,4,2.5,2,3,2,2,2,3,2,No,Matteo,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los tacos ,Local,6/5/2016,Oceanside,2183 Vista Way,https://www.yelp.com/biz/los-tacos-oceanside,4,4.2,,7.9,3.5,20.5,21.5,0.75,3.5,4.5,4.5,4,1.5,1.5,3,4,5,3.5,Yes,Scott,,,,,X,,X,X,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Los tacos ,Fusion,6/5/2016,,,,,,,8.5,3.5,18.5,21,0.65,4,4,4,3.5,4,4,4,4.5,4.5,4.2,Yes,Emily,,,,X,,X,X,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Taco Stand,Al pastor,6/6/2016,,,,,,,6.99,3.5,18.5,21,0.65,4,3.5,4,3.5,4,5,2.5,4,4.5,3.9,Yes,Scott,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,
Taco Stand,Al pastor,6/6/2016,,,,,,,6.99,5,,,,4,4,4,4,2,3,3,4,3,3.5,Yes,Brad P,,,,,,,,,,x,,,,,,,,,,,x,,x,x,,x,,,,,,,,,,,,
Albertacos,California ,6/8/2016,San Marcos,500 W San Marcos Blvd # 103,https://www.yelp.com/biz/albertacos-san-marcos,3.5,3.9,,5.7,3.5,20.5,21.5,0.75,3.5,3,3,4,1.5,4,4,4,4,3.7,Yes,Scott,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albertacos,Carne asada,6/8/2016,,,,,,,5.25,4,21,21,0.74,3.5,3,2.8,3.5,4,4,4,3.5,5,3.2,Yes,Emily,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Rey Moro,California Surf,6/9/2016,Clairemont,4471 Clairemont Mesa Blvd,https://www.yelp.com/biz/el-rey-moro-taco-shop-san-diego,4,3.8,,9.19,2.8,20.5,23.5,0.9,3.5,4.5,4,3.5,5,4.5,3,3.5,5,4,Yes,Scott,shrimp is really good. too much chipotle sauce,,,X,,X,X,X,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,
Tacos por favor,Carne asada,6/11/2016,Santa Monica,1408 Olympic Blvd,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4,4.1,x,7.85,3,16.5,20.5,0.55,3,4.5,4.5,3.5,3.5,3.5,1,4,1,3.5,Yes,Scott,,,x,X,X,X,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Tacos por favor,Al pastor,6/11/2016,,,,,,,6.85,4,15.5,21,0.54,3,5,4,3,5,4,3,4,3,4,Yes,Christian,,,x,,X,,,,,x,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
Tacos por favor,Carne asada,6/11/2016,,,,,,,6.85,4,18,,,4,5,3.5,3,4,4,3,3,3,3.5,,Sam H,,,x,X,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,
El dorado Mexican food,California,6/16/2016,Temecula,29000 Old Town Front St,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,4.5,4,,6.94,4,,,,4,4,4,4.5,3.2,3,4.5,4.5,2,4.5,Yes,Scott,Salsa verde has an interesting hint of garlic,,x,X,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El dorado Mexican food,Super,6/16/2016,,,,,,,6.94,3.75,,,,3.5,3.5,3.5,3.5,4,4,4.5,3.5,4.5,3.8,Yes,Emily,,,x,X,,X,X,,X,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,6/23/2016,,,,,,,7,2.2,18,25,0.9,2.8,3,3,2,2,4.5,2,1.5,4.5,2.3,No,Scott,,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,6/23/2016,,,,,,,7,3.5,18,23.5,0.79,4,4,4,3,4,5,4,4,5,4,Yes,Cris,,,,x,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,California,6/23/2016,,,,,,,7,3,19,24,0.87,3.5,2,3,4,2,4,3,3,4,3,,Matt,,,,x,,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lolita's Taco Shop,Mixed,6/23/2016,,,,,,,8.25,4,,,,4,3,4,4,4,5,3,4,5,3.5,Yes,Marc,,,,x,,x,x,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6/24/2016,,,,,,,6.25,3,23.5,21.5,0.86,3.8,1.3,3.5,3.5,4.5,4.5,3.5,4,5,3.9,Yes,Scott,Temperature brought it down,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6/24/2016,,,,,,,6.25,4.5,22.5,22,0.87,4,4,4.5,4,4,3.5,4,4,4.5,4.25,Yes,Ricardo,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6/24/2016,,,,,,,6.25,4,22.5,22,0.87,3,2.5,4,4,4,2,2,3,4,4,Yes,Elynn,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6/24/2016,,,,,,,6.25,3,23,22.5,0.93,5,4,4,4.5,4,4.5,,4,4,4.5,Yes,Erin,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,6/24/2016,,,,,,,6.25,4,,,,4,3.5,4.5,4,4.5,4,4.5,4.5,5,4.5,Yes,Luis,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Carnitas,6/24/2016,,,,,,,5.5,4.5,21.5,20,0.68,5,4,5,4,4.5,4,4,4.5,4,4.5,Yes,Matteo,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Carne asada everything,6/24/2016,,,,,,,6.25,3,23,23,0.97,4,3,4,3,4,3,3,4,4,4,Yes,Brent,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Carne asada everything,6/24/2016,,,,,,,6.25,4.5,21.5,20.5,0.72,4,5,4.5,4,4.5,4,3,4,5,4.5,Yes,Daniel,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Carne asada everything,6/24/2016,,,,,,,6.25,5,23,21.5,0.85,4,3,5,4,4,4,5,5,3,4.2,Yes,Alejandro,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,8/1/2016,,,,,,,6.25,4,22,20.8,0.76,4,4,3.5,4,3,4,4,3.5,4.5,3.75,Yes,Ricardo,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,8/1/2016,,,,,,,6.25,4,22.5,21.5,0.83,3,2,4,5,4,4,3,4,3,4,Yes,Elynn,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,8/1/2016,,,,,,,6.25,4,23,21.5,0.85,4,3.5,3.5,4,3.5,4,3.5,4,4.5,4,Yes,Matteo,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,8/1/2016,,,,,,,6.25,3.5,21,22.5,0.85,3.5,2,3,3.5,3.5,2.5,2.5,3.5,4.5,3.4,Yes,Scott,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,8/1/2016,,,,,,,6.25,3,22.5,21,0.79,4,4,4.5,5,4.75,5,4,4.5,4.5,,Yes,Aga,,,,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Surf & Turf,8/1/2016,,,,,,,7,4.31,,,,3,2.5,3.5,3,3.5,4,3,3,4,,Yes,Hannah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Carne asada everything,8/1/2016,,,,,,,6.25,4.5,22,20,0.7,4.5,4,4,4.5,4,4,4.5,4.5,4,4,Yes,Brent,,,,x,x,x,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Surf & Turf,8/6/2016,,,,,,,7,2.5,20.5,21.75,0.77,4,4,2,3,2,3.5,3,3,4.5,2.5,No,Emily,,,,X,,,X,,,,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,
Los Primos Mexican Food,Adobada,8/6/2016,,,,,,,6.25,2,20.5,20,0.65,4,2.5,2.5,3,2,4,3.5,3,4.5,2.6,No,Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Primos Mexican Food,Carne asada,8/6/2016,,,,,,,7,4,18.5,20.5,0.62,3.5,3,2,2,1,3,3.5,1.5,4,2,No,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Chito's Mexican Food,California,8/9/2016,University City,3951 Governor Dr,https://www.yelp.com/biz/papa-chitos-mexican-food-san-diego,2.5,3.3,,6.25,3.5,21.5,20,0.68,3.5,3.5,2.5,2.5,2.5,4,2,1.5,5,2.2,No,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papa Chito's Mexican Food,California,8/9/2016,,,,,,,6.25,4,20,20,0.64,4,5,3,3,4,3.5,4,4,5,3.75,Yes,Sage,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Pueblo Mexican Food,California,8/10/2016,Cardiff ,820 Birmingham Dr,https://www.yelp.com/biz/el-pueblo-authentic-mexican-food-cardiff-by-the-sea,4,4.7,,4.99,4,19,21,0.67,4.5,4.5,3.5,4,4.5,5,2.5,4.5,5,4.3,Yes,Scott,,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burros and Fries,California,8/12/2016,Clairemont,4705 Clairemont Dr,http://www.burrosandfries.com/,3.5,4.1,,6.89,4,21.5,22.5,0.87,3.5,4.5,3.5,3.5,3,1.5,2.5,3.5,5,3.5,Yes,Scott,good fries,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burros and Fries,Carne asada,8/12/2016,,,,,,,6.89,5,18.5,21,0.65,3,5,4.5,4.5,3,4,4.5,4,4.5,4,Yes,Brent,very little guac,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Burrito,Adobada,8/16/2016,Oceanside,3490 Marron Rd,https://www.yelp.com/biz/king-burrito-oceanside-2,4,3.9,,4.99,3.5,23,19,0.66,3,3,3,3,2.5,2,2.5,3,4,2.8,No,Emily,Too much tortilla per bite,,,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Burrito,California,8/16/2016,,,,,,,5.29,3.5,22.5,20.5,0.75,2.5,4.5,2,3,2.5,1.5,3,2,4.5,2.5,No,Scott,it does taste homemade. but that's not a good thing,,,x,x,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,California ,8/17/2016,,,,,,,7.49,2,18.5,21.5,0.68,4,5,4.5,3.5,3.5,2,3.5,4,5,4,Yes,Scott,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco Stand,California ,8/17/2016,,,,,,,7.49,2.5,16.5,23.5,0.73,3.5,5,4,3,4,4.5,3,3.5,5,4,Yes,TJ,,,,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmen's Mexican Food,Adobada,8/19/2016,Clairemont,4937 Diane Ave,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4.2,,6.5,3.5,20.5,20.5,0.69,2.5,4,3.5,4,4,3,1.5,3.5,5,3.6,Yes,Scott,really good guac,,,,,x,,,,x,,,,,x,,,,,,,,x,x,,,,,,,,,,,,,,
Carmen's Mexican Food,Carne asada,8/19/2016,,,,,,,6.5,5,21,21,0.74,4.5,4.5,3.5,4,4,3.5,4,4,4,4,Yes,Brent,,,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senor Panchos,Pollo asado,8/21/2016,San Marcos,1909 W San Marcos Blvd,https://www.yelp.com/biz/senor-panchos-mexican-restaurant-san-marcos,4,4.2,,6.25,3.5,21.5,19.5,0.65,2.5,3.5,3,3,5,4.5,3.5,2,5,2.9,No,Scott,"guac is good, very avocado-y",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Senor Panchos,California,8/21/2016,,,,,,,6.25,3,21,19.5,0.64,3,4,4,3,3.5,4.5,4,4,5,4,Yes,Emily,feels very dense; a lot of meat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Cabos,California,8/27/2016,San Marcos,165 S Rancho Santa Fe Rd,https://www.yelp.com/biz/los-cabos-san-marcos,4,4.1,x,5.99,4,18.5,21,0.65,4,4.5,2.5,2.5,2.5,1.5,3,4,5,3,No,Scott,Repeatedly get large bites of sour cream,,,X,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Cabos,Al pastor,8/27/2016,,,,,,,5.69,3,17.5,23.5,0.77,4,4.5,3,3.5,4,3.5,2.5,4,4.5,4,Yes,Emily,Really good with lime,,,,,X,,,,X,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Rubios UCSD,Tilapia one,8/30/2016,UTC,9500 Gilman Dr,https://www.yelp.com/biz/rubios-la-jolla-4,3.5,3.4,x,7.99,3.5,17,20,0.54,1.5,4,3,3,1.5,4.5,2.5,3,1.5,3.2,No,Scott,,,,,,X,,,,,,,X,X,,,,,,X,,,,,,,,,,,,,,,,,x,
Lucha Libre North Park,Surf & Turf,8/30/2016,North Park,3016 University Ave,https://www.yelp.com/biz/lucha-libre-san-diego,3.5,4.3,x,8.25,4,19,22.5,0.77,3,2.5,3,3,3,3,3.5,3,3,3,Yes,Hannah,,,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,8/30/2016,,,,,,,8.25,3,19,24,0.87,5,3,5,4,2,2,5,2,2,2,No,Tammy,,,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,8/30/2016,,,,,,,8.25,3.9,,,,2.1,1.9,2.6,2.4,2.9,3.2,4,2.5,3,2.4,No,Bankole,Not as good as the first time,,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,8/30/2016,,,,,,,8.25,4,20,22,0.77,3,2.5,2,2.8,3.5,3.5,4,3,4,2.2,,Melissa N,,,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surf & Turf,8/30/2016,,,,,,,8.25,3.5,20,22,0.77,3.6,3.2,3.2,3.5,3.6,3.5,,3.8,3.9,3.6,,Katie,,,,x,x,,,,,,,x,,x,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,3,21,24.5,1,3,3,4,3.5,3,2,3.5,3.5,4,3.9,Yes,Emily,thick chips,,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,4,18.5,25.5,0.96,3.5,2,4,3,5,5,4,4,5,3.5,,Melissa G,Good guac,,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
Lucha Libre North Park,Surfin California,8/30/2016,,,,,,,8.25,4,,,,4,3,3,3,3,2,3,3,4,3,Yes,Marc,"shrimp was questionable; salsa was mediocre to bad; overall ok, better than past burritos at lucha libre",,,x,x,,x,x,,,,x,,,,,,,,,x,,,,,,,,,,,,,,,x,,
