Location,Burrito,Date,Neighborhood,Hunger,Cost,chips?,Tortilla,Temp,Meat,Fillings,Meat:filling,Uniformity,Salsa,Synergy,Wrap,overall,Reviewer,beef/ carne asada,Pico,Guac,Cheese,Fries,sour cream,pork,chicken,Shrimp,fish,rice,beans,lettuce,tomato,bell pepper,carrots,cabbage,sauce,salsa,cilantro,onion,taquito,pineapple,ham,chile relleno,nopales/nopalitos,lobster,queso,egg,mushroom,bacon
Rudy's Taco Shop,Chicken,4/9/2016,Solana Beach,3.5,6.6,No,3.5,3,4,4.5,3,1,3,4,0.5,2.8,Scott,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,
Rudy's Taco Shop,Carnitas,4/9/2016,Solana Beach,3,6.6,No,3,2.5,3,4,2,1,3,3,5,3,Emily,,X,X,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,4/14/2016,La Jolla,3.5,7.89,No,3,2,4.5,4,4,1.5,4.5,4.5,4.5,4.4,Scott,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taco stand,Carne asada,4/14/2016,La Jolla,2,7.89,No,3,2.5,4.5,3.5,4.5,3,4,3.5,5,3.5,Richard,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,4/15/2016,Linda Vista,4,6.25,Yes,4.5,4.5,2.5,3.5,3.5,3.5,3,4,5,4.1,Scott,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,4/15/2016,Linda Vista,3.5,6.25,Yes,4,4,4,2.5,3,3.5,4,4,5,4,Brent,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,California Everything,4/15/2016,Linda Vista,4,6.25,Yes,4,4.5,4.5,5,5,5,4.5,5,5,4.6,Luis,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,
California Burritos,Chile relleno and carnitas,4/15/2016,Linda Vista,5,6.5,Yes,4.5,5,5,5,5,4,4,5,5,4.7,Karl,,x,,x,,x,x,,,,x,,,,,,,,,,,,,,x,,,,,,
California Burritos,California (only cheese),4/15/2016,Linda Vista,2,6.25,Yes,5,5,5,4,4,2,,5,5,5,Kalen,x,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,Fish,4/15/2016,Clairemont,2.5,6.5,No,3,,3.5,4,4,3,,4,1.5,3.5,Erin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vallarta express,California,4/15/2016,Clairemont,3.5,6.65,No,3.5,,3.5,3.5,4.5,3.5,3.5,4,4,4,Ricardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
